30407a	90dfff	lea rsi,[rip+0xffffffffff9f6074]
327e92	910914	lea rdx,[rip+0xffffffffffa17577]
30640f	b43685	lea rax,[rip+0xffffffffff7c2d83]
30407a	f49ab7	lea rsi,[rip+0xffffffffff3ba5bc]
30407a	f49b00	lea rsi,[rip+0xffffffffff3ba573]
30407a	f49b29	lea rsi,[rip+0xffffffffff3ba54a]
30407a	1043685	lea rsi,[rip+0xffffffffff2c09ee]
370141	11393cb	lea rsi,[rip+0xffffffffff236d6f]
2c3b3e	113bd0b	lea rdx,[rip+0xffffffffff187e2c]
2c3b2e	113be07	lea rdx,[rip+0xffffffffff187d20]
2c3b2e	113be37	lea rdx,[rip+0xffffffffff187cf0]
37410e	1184439	lea rsi,[rip+0xffffffffff1efcce]
371f5a	1184454	lea rsi,[rip+0xffffffffff1edaff]
325066	12a5fb6	lea rsi,[rip+0xffffffffff07f0a9]
